agent,task_id,composite_v4,composite_score,raw_score_v3,answer_chars,score_file,answer_file
flowsearcher-ds,dr_cross_deep_0044,0.0,0.0,0.0,27,scores/flowsearcher-ds__dr_cross_deep_0044_matrix.score.json,answers/flowsearcher-ds__dr_cross_deep_0044_matrix.md
gpt-researcher,dr_cross_deep_0044,0.0,0.0,0.0975,5584,scores/gpt-researcher__dr_cross_deep_0044_matrix.score.json,answers/gpt-researcher__dr_cross_deep_0044_matrix.md
ii-researcher,dr_cross_deep_0044,0.6325,0.0,0.4375,4969,scores/ii-researcher__dr_cross_deep_0044_matrix.score.json,answers/ii-researcher__dr_cross_deep_0044_matrix.md
langchain-odr,dr_cross_deep_0044,0.0,0.0,0.1142,8985,scores/langchain-odr__dr_cross_deep_0044_matrix.score.json,answers/langchain-odr__dr_cross_deep_0044_matrix.md
ldr,dr_cross_deep_0044,0.0,0.0,0.1017,5464,scores/ldr__dr_cross_deep_0044_matrix.score.json,answers/ldr__dr_cross_deep_0044_matrix.md
opencode,dr_cross_deep_0044,0.0,0.0,0.0,29,scores/opencode__dr_cross_deep_0044_matrix.score.json,answers/opencode__dr_cross_deep_0044_matrix.md
qx-agents,dr_cross_deep_0044,0.0,0.0,0.0,497,scores/qx-agents__dr_cross_deep_0044_matrix.score.json,answers/qx-agents__dr_cross_deep_0044_matrix.md
smolagents,dr_cross_deep_0044,0.0,0.0,0.0508,1802,scores/smolagents__dr_cross_deep_0044_matrix.score.json,answers/smolagents__dr_cross_deep_0044_matrix.md
camel-ai,dr_cross_deep_0045,0.0,0.0,0.085,6890,scores/camel-ai__dr_cross_deep_0045_matrix.score.json,answers/camel-ai__dr_cross_deep_0045_matrix.md
claude-code,dr_cross_deep_0045,0.0,0.0,0.0,56,scores/claude-code__dr_cross_deep_0045_matrix.score.json,answers/claude-code__dr_cross_deep_0045_matrix.md
deerflow,dr_cross_deep_0045,0.4356,0.0,0.42,9359,scores/deerflow__dr_cross_deep_0045_matrix.score.json,answers/deerflow__dr_cross_deep_0045_matrix.md
flowsearcher-ds,dr_cross_deep_0045,0.0,0.0,0.0,27,scores/flowsearcher-ds__dr_cross_deep_0045_matrix.score.json,answers/flowsearcher-ds__dr_cross_deep_0045_matrix.md
gpt-researcher,dr_cross_deep_0045,0.0,0.0,0.105,4317,scores/gpt-researcher__dr_cross_deep_0045_matrix.score.json,answers/gpt-researcher__dr_cross_deep_0045_matrix.md
ii-researcher,dr_cross_deep_0045,0.5191,0.0,0.3735,7404,scores/ii-researcher__dr_cross_deep_0045_matrix.score.json,answers/ii-researcher__dr_cross_deep_0045_matrix.md
langchain-odr,dr_cross_deep_0045,0.0,0.0,0.1042,6893,scores/langchain-odr__dr_cross_deep_0045_matrix.score.json,answers/langchain-odr__dr_cross_deep_0045_matrix.md
ldr,dr_cross_deep_0045,0.0,0.0,0.1167,4891,scores/ldr__dr_cross_deep_0045_matrix.score.json,answers/ldr__dr_cross_deep_0045_matrix.md
opencode,dr_cross_deep_0045,0.0,0.0,0.0,29,scores/opencode__dr_cross_deep_0045_matrix.score.json,answers/opencode__dr_cross_deep_0045_matrix.md
qx-agents,dr_cross_deep_0045,0.0,0.0,0.0,497,scores/qx-agents__dr_cross_deep_0045_matrix.score.json,answers/qx-agents__dr_cross_deep_0045_matrix.md
smolagents,dr_cross_deep_0045,0.0,0.0,0.0625,2166,scores/smolagents__dr_cross_deep_0045_matrix.score.json,answers/smolagents__dr_cross_deep_0045_matrix.md
camel-ai,dr_cross_deep_0046,0.0,0.0,0.1567,8068,scores/camel-ai__dr_cross_deep_0046_matrix.score.json,answers/camel-ai__dr_cross_deep_0046_matrix.md
claude-code,dr_cross_deep_0046,0.0,0.0,0.0,56,scores/claude-code__dr_cross_deep_0046_matrix.score.json,answers/claude-code__dr_cross_deep_0046_matrix.md
deerflow,dr_cross_deep_0046,0.3852,0.0333,0.4967,11468,scores/deerflow__dr_cross_deep_0046_matrix.score.json,answers/deerflow__dr_cross_deep_0046_matrix.md
flowsearcher-ds,dr_cross_deep_0046,0.0,0.0,0.0,27,scores/flowsearcher-ds__dr_cross_deep_0046_matrix.score.json,answers/flowsearcher-ds__dr_cross_deep_0046_matrix.md
gpt-researcher,dr_cross_deep_0046,0.0,0.0,0.165,9861,scores/gpt-researcher__dr_cross_deep_0046_matrix.score.json,answers/gpt-researcher__dr_cross_deep_0046_matrix.md
ii-researcher,dr_cross_deep_0046,0.0,0.0,0.135,6071,scores/ii-researcher__dr_cross_deep_0046_matrix.score.json,answers/ii-researcher__dr_cross_deep_0046_matrix.md
langchain-odr,dr_cross_deep_0046,0.0,0.0,0.1492,10311,scores/langchain-odr__dr_cross_deep_0046_matrix.score.json,answers/langchain-odr__dr_cross_deep_0046_matrix.md
ldr,dr_cross_deep_0046,0.0,0.0,0.1283,6159,scores/ldr__dr_cross_deep_0046_matrix.score.json,answers/ldr__dr_cross_deep_0046_matrix.md
opencode,dr_cross_deep_0046,0.0,0.0,0.0,29,scores/opencode__dr_cross_deep_0046_matrix.score.json,answers/opencode__dr_cross_deep_0046_matrix.md
qx-agents,dr_cross_deep_0046,0.0,0.0,0.0,497,scores/qx-agents__dr_cross_deep_0046_matrix.score.json,answers/qx-agents__dr_cross_deep_0046_matrix.md
smolagents,dr_cross_deep_0046,0.0,0.0,0.1133,4799,scores/smolagents__dr_cross_deep_0046_matrix.score.json,answers/smolagents__dr_cross_deep_0046_matrix.md
camel-ai,dr_cross_deep_0047,0.0,0.0,0.0925,4681,scores/camel-ai__dr_cross_deep_0047_matrix.score.json,answers/camel-ai__dr_cross_deep_0047_matrix.md
claude-code,dr_cross_deep_0047,0.0,0.0,0.0,56,scores/claude-code__dr_cross_deep_0047_matrix.score.json,answers/claude-code__dr_cross_deep_0047_matrix.md
deerflow,dr_cross_deep_0047,0.3921,0.0255,0.4475,11481,scores/deerflow__dr_cross_deep_0047_matrix.score.json,answers/deerflow__dr_cross_deep_0047_matrix.md
flowsearcher-ds,dr_cross_deep_0047,0.0,0.0,0.0,27,scores/flowsearcher-ds__dr_cross_deep_0047_matrix.score.json,answers/flowsearcher-ds__dr_cross_deep_0047_matrix.md
gpt-researcher,dr_cross_deep_0047,0.0,0.0,0.1425,8222,scores/gpt-researcher__dr_cross_deep_0047_matrix.score.json,answers/gpt-researcher__dr_cross_deep_0047_matrix.md
ii-researcher,dr_cross_deep_0047,0.0,0.0,0.1208,5232,scores/ii-researcher__dr_cross_deep_0047_matrix.score.json,answers/ii-researcher__dr_cross_deep_0047_matrix.md
langchain-odr,dr_cross_deep_0047,0.0,0.0,0.1383,7861,scores/langchain-odr__dr_cross_deep_0047_matrix.score.json,answers/langchain-odr__dr_cross_deep_0047_matrix.md
ldr,dr_cross_deep_0047,0.0,0.0,0.1017,5622,scores/ldr__dr_cross_deep_0047_matrix.score.json,answers/ldr__dr_cross_deep_0047_matrix.md
opencode,dr_cross_deep_0047,0.0,0.0,0.0,29,scores/opencode__dr_cross_deep_0047_matrix.score.json,answers/opencode__dr_cross_deep_0047_matrix.md
qx-agents,dr_cross_deep_0047,0.0,0.0,0.0,497,scores/qx-agents__dr_cross_deep_0047_matrix.score.json,answers/qx-agents__dr_cross_deep_0047_matrix.md
smolagents,dr_cross_deep_0047,0.0,0.0,0.0858,3577,scores/smolagents__dr_cross_deep_0047_matrix.score.json,answers/smolagents__dr_cross_deep_0047_matrix.md
camel-ai,dr_cross_deep_0048,0.0,0.0,0.1492,18465,scores/camel-ai__dr_cross_deep_0048_matrix.score.json,answers/camel-ai__dr_cross_deep_0048_matrix.md
claude-code,dr_cross_deep_0048,0.0,0.0,0.0,56,scores/claude-code__dr_cross_deep_0048_matrix.score.json,answers/claude-code__dr_cross_deep_0048_matrix.md
deerflow,dr_cross_deep_0048,0.3206,0.0167,0.1417,7825,scores/deerflow__dr_cross_deep_0048_matrix.score.json,answers/deerflow__dr_cross_deep_0048_matrix.md
flowsearcher-ds,dr_cross_deep_0048,0.0,0.0,0.0,27,scores/flowsearcher-ds__dr_cross_deep_0048_matrix.score.json,answers/flowsearcher-ds__dr_cross_deep_0048_matrix.md
gpt-researcher,dr_cross_deep_0048,0.0,0.0,0.1125,8601,scores/gpt-researcher__dr_cross_deep_0048_matrix.score.json,answers/gpt-researcher__dr_cross_deep_0048_matrix.md
ii-researcher,dr_cross_deep_0048,0.0,0.0,0.1083,5949,scores/ii-researcher__dr_cross_deep_0048_matrix.score.json,answers/ii-researcher__dr_cross_deep_0048_matrix.md
langchain-odr,dr_cross_deep_0048,0.0,0.0,0.1458,11531,scores/langchain-odr__dr_cross_deep_0048_matrix.score.json,answers/langchain-odr__dr_cross_deep_0048_matrix.md
ldr,dr_cross_deep_0048,0.0,0.0,0.1283,5200,scores/ldr__dr_cross_deep_0048_matrix.score.json,answers/ldr__dr_cross_deep_0048_matrix.md
opencode,dr_cross_deep_0048,0.0,0.0,0.0,29,scores/opencode__dr_cross_deep_0048_matrix.score.json,answers/opencode__dr_cross_deep_0048_matrix.md
qx-agents,dr_cross_deep_0048,0.0,0.0,0.0,497,scores/qx-agents__dr_cross_deep_0048_matrix.score.json,answers/qx-agents__dr_cross_deep_0048_matrix.md
smolagents,dr_cross_deep_0048,0.0,0.0,0.1017,4985,scores/smolagents__dr_cross_deep_0048_matrix.score.json,answers/smolagents__dr_cross_deep_0048_matrix.md
camel-ai,dr_cross_deep_0049,0.0393,0.002,0.1603,15691,scores/camel-ai__dr_cross_deep_0049_matrix.score.json,answers/camel-ai__dr_cross_deep_0049_matrix.md
claude-code,dr_cross_deep_0049,0.0,0.0,0.0,56,scores/claude-code__dr_cross_deep_0049_matrix.score.json,answers/claude-code__dr_cross_deep_0049_matrix.md
deerflow,dr_cross_deep_0049,0.3469,0.024,0.3817,9086,scores/deerflow__dr_cross_deep_0049_matrix.score.json,answers/deerflow__dr_cross_deep_0049_matrix.md
flowsearcher-ds,dr_cross_deep_0049,0.0,0.0,0.0,27,scores/flowsearcher-ds__dr_cross_deep_0049_matrix.score.json,answers/flowsearcher-ds__dr_cross_deep_0049_matrix.md
gpt-researcher,dr_cross_deep_0049,0.0,0.0,0.15,9573,scores/gpt-researcher__dr_cross_deep_0049_matrix.score.json,answers/gpt-researcher__dr_cross_deep_0049_matrix.md
ii-researcher,dr_cross_deep_0049,0.0,0.0,0.1392,6767,scores/ii-researcher__dr_cross_deep_0049_matrix.score.json,answers/ii-researcher__dr_cross_deep_0049_matrix.md
langchain-odr,dr_cross_deep_0049,0.0,0.0,0.1642,8468,scores/langchain-odr__dr_cross_deep_0049_matrix.score.json,answers/langchain-odr__dr_cross_deep_0049_matrix.md
ldr,dr_cross_deep_0049,0.0,0.0,0.0433,4760,scores/ldr__dr_cross_deep_0049_matrix.score.json,answers/ldr__dr_cross_deep_0049_matrix.md
opencode,dr_cross_deep_0049,0.0,0.0,0.0,29,scores/opencode__dr_cross_deep_0049_matrix.score.json,answers/opencode__dr_cross_deep_0049_matrix.md
qx-agents,dr_cross_deep_0049,0.0,0.0,0.0,497,scores/qx-agents__dr_cross_deep_0049_matrix.score.json,answers/qx-agents__dr_cross_deep_0049_matrix.md
smolagents,dr_cross_deep_0049,0.0,0.0,0.1092,3538,scores/smolagents__dr_cross_deep_0049_matrix.score.json,answers/smolagents__dr_cross_deep_0049_matrix.md
camel-ai,dr_cross_deep_0050,0.0,0.0,0.08,7054,scores/camel-ai__dr_cross_deep_0050_matrix.score.json,answers/camel-ai__dr_cross_deep_0050_matrix.md
claude-code,dr_cross_deep_0050,0.0,0.0,0.0,56,scores/claude-code__dr_cross_deep_0050_matrix.score.json,answers/claude-code__dr_cross_deep_0050_matrix.md
deerflow,dr_cross_deep_0050,0.4417,0.0333,0.485,10334,scores/deerflow__dr_cross_deep_0050_matrix.score.json,answers/deerflow__dr_cross_deep_0050_matrix.md
flowsearcher-ds,dr_cross_deep_0050,0.0,0.0,0.0,27,scores/flowsearcher-ds__dr_cross_deep_0050_matrix.score.json,answers/flowsearcher-ds__dr_cross_deep_0050_matrix.md
gpt-researcher,dr_cross_deep_0050,0.0,0.0,0.1333,13036,scores/gpt-researcher__dr_cross_deep_0050_matrix.score.json,answers/gpt-researcher__dr_cross_deep_0050_matrix.md
ii-researcher,dr_cross_deep_0050,0.0,0.0,0.1417,8520,scores/ii-researcher__dr_cross_deep_0050_matrix.score.json,answers/ii-researcher__dr_cross_deep_0050_matrix.md
langchain-odr,dr_cross_deep_0050,0.0,0.0,0.095,13225,scores/langchain-odr__dr_cross_deep_0050_matrix.score.json,answers/langchain-odr__dr_cross_deep_0050_matrix.md
ldr,dr_cross_deep_0050,0.0,0.0,0.0575,5746,scores/ldr__dr_cross_deep_0050_matrix.score.json,answers/ldr__dr_cross_deep_0050_matrix.md
opencode,dr_cross_deep_0050,0.0,0.0,0.0,29,scores/opencode__dr_cross_deep_0050_matrix.score.json,answers/opencode__dr_cross_deep_0050_matrix.md
qx-agents,dr_cross_deep_0050,0.0,0.0,0.0,497,scores/qx-agents__dr_cross_deep_0050_matrix.score.json,answers/qx-agents__dr_cross_deep_0050_matrix.md
smolagents,dr_cross_deep_0050,0.0,0.0,0.0508,4141,scores/smolagents__dr_cross_deep_0050_matrix.score.json,answers/smolagents__dr_cross_deep_0050_matrix.md
claude-code,dr_cross_deep_0051,0.0,0.0,0.0,56,scores/claude-code__dr_cross_deep_0051_matrix.score.json,answers/claude-code__dr_cross_deep_0051_matrix.md
deerflow,dr_cross_deep_0051,0.0,0.0,0.1417,14186,scores/deerflow__dr_cross_deep_0051_matrix.score.json,answers/deerflow__dr_cross_deep_0051_matrix.md
flowsearcher-ds,dr_cross_deep_0051,0.0,0.0,0.0,27,scores/flowsearcher-ds__dr_cross_deep_0051_matrix.score.json,answers/flowsearcher-ds__dr_cross_deep_0051_matrix.md
gpt-researcher,dr_cross_deep_0051,0.0,0.0,0.15,11661,scores/gpt-researcher__dr_cross_deep_0051_matrix.score.json,answers/gpt-researcher__dr_cross_deep_0051_matrix.md
ii-researcher,dr_cross_deep_0051,0.2423,0.0,0.3602,5833,scores/ii-researcher__dr_cross_deep_0051_matrix.score.json,answers/ii-researcher__dr_cross_deep_0051_matrix.md
langchain-odr,dr_cross_deep_0051,0.0,0.0,0.145,13064,scores/langchain-odr__dr_cross_deep_0051_matrix.score.json,answers/langchain-odr__dr_cross_deep_0051_matrix.md
ldr,dr_cross_deep_0051,0.0,0.0,0.1208,4705,scores/ldr__dr_cross_deep_0051_matrix.score.json,answers/ldr__dr_cross_deep_0051_matrix.md
opencode,dr_cross_deep_0051,0.0,0.0,0.0,29,scores/opencode__dr_cross_deep_0051_matrix.score.json,answers/opencode__dr_cross_deep_0051_matrix.md
qx-agents,dr_cross_deep_0051,0.0,0.0,0.0,497,scores/qx-agents__dr_cross_deep_0051_matrix.score.json,answers/qx-agents__dr_cross_deep_0051_matrix.md
smolagents,dr_cross_deep_0051,0.0,0.0,0.0942,3961,scores/smolagents__dr_cross_deep_0051_matrix.score.json,answers/smolagents__dr_cross_deep_0051_matrix.md
claude-code,dr_cross_deep_0052,0.0,0.0,0.0,56,scores/claude-code__dr_cross_deep_0052_matrix.score.json,answers/claude-code__dr_cross_deep_0052_matrix.md
deerflow,dr_cross_deep_0052,0.4448,0.0333,0.5,9280,scores/deerflow__dr_cross_deep_0052_matrix.score.json,answers/deerflow__dr_cross_deep_0052_matrix.md
flowsearcher-ds,dr_cross_deep_0052,0.0,0.0,0.0,27,scores/flowsearcher-ds__dr_cross_deep_0052_matrix.score.json,answers/flowsearcher-ds__dr_cross_deep_0052_matrix.md
gpt-researcher,dr_cross_deep_0052,0.0,0.0,0.1458,8135,scores/gpt-researcher__dr_cross_deep_0052_matrix.score.json,answers/gpt-researcher__dr_cross_deep_0052_matrix.md
ii-researcher,dr_cross_deep_0052,0.0,0.0,0.1642,9071,scores/ii-researcher__dr_cross_deep_0052_matrix.score.json,answers/ii-researcher__dr_cross_deep_0052_matrix.md
langchain-odr,dr_cross_deep_0052,0.0,0.0,0.1267,8751,scores/langchain-odr__dr_cross_deep_0052_matrix.score.json,answers/langchain-odr__dr_cross_deep_0052_matrix.md
ldr,dr_cross_deep_0052,0.0,0.0,0.1092,4016,scores/ldr__dr_cross_deep_0052_matrix.score.json,answers/ldr__dr_cross_deep_0052_matrix.md
opencode,dr_cross_deep_0052,0.0,0.0,0.0,29,scores/opencode__dr_cross_deep_0052_matrix.score.json,answers/opencode__dr_cross_deep_0052_matrix.md
qx-agents,dr_cross_deep_0052,0.0,0.0,0.0,497,scores/qx-agents__dr_cross_deep_0052_matrix.score.json,answers/qx-agents__dr_cross_deep_0052_matrix.md
smolagents,dr_cross_deep_0052,0.0,0.0,0.1092,4035,scores/smolagents__dr_cross_deep_0052_matrix.score.json,answers/smolagents__dr_cross_deep_0052_matrix.md
camel-ai,dr_cross_deep_0053,0.0,0.0,0.1567,6503,scores/camel-ai__dr_cross_deep_0053_matrix.score.json,answers/camel-ai__dr_cross_deep_0053_matrix.md
claude-code,dr_cross_deep_0053,0.0,0.0,0.0,56,scores/claude-code__dr_cross_deep_0053_matrix.score.json,answers/claude-code__dr_cross_deep_0053_matrix.md
deerflow,dr_cross_deep_0053,0.4757,0.0,0.4625,7104,scores/deerflow__dr_cross_deep_0053_matrix.score.json,answers/deerflow__dr_cross_deep_0053_matrix.md
flowsearcher-ds,dr_cross_deep_0053,0.0,0.0,0.0,27,scores/flowsearcher-ds__dr_cross_deep_0053_matrix.score.json,answers/flowsearcher-ds__dr_cross_deep_0053_matrix.md
gpt-researcher,dr_cross_deep_0053,0.0,0.0,0.1617,7098,scores/gpt-researcher__dr_cross_deep_0053_matrix.score.json,answers/gpt-researcher__dr_cross_deep_0053_matrix.md
ii-researcher,dr_cross_deep_0053,0.0,0.0,0.12,4833,scores/ii-researcher__dr_cross_deep_0053_matrix.score.json,answers/ii-researcher__dr_cross_deep_0053_matrix.md
langchain-odr,dr_cross_deep_0053,0.0,0.0,0.1683,8112,scores/langchain-odr__dr_cross_deep_0053_matrix.score.json,answers/langchain-odr__dr_cross_deep_0053_matrix.md
ldr,dr_cross_deep_0053,0.0,0.0,0.1092,3327,scores/ldr__dr_cross_deep_0053_matrix.score.json,answers/ldr__dr_cross_deep_0053_matrix.md
opencode,dr_cross_deep_0053,0.0,0.0,0.0,29,scores/opencode__dr_cross_deep_0053_matrix.score.json,answers/opencode__dr_cross_deep_0053_matrix.md
qx-agents,dr_cross_deep_0053,0.0,0.0,0.0,497,scores/qx-agents__dr_cross_deep_0053_matrix.score.json,answers/qx-agents__dr_cross_deep_0053_matrix.md
smolagents,dr_cross_deep_0053,0.0,0.0,0.1092,3707,scores/smolagents__dr_cross_deep_0053_matrix.score.json,answers/smolagents__dr_cross_deep_0053_matrix.md
camel-ai,dr_cross_deep_0054,0.0,0.0,0.1158,5140,scores/camel-ai__dr_cross_deep_0054_matrix.score.json,answers/camel-ai__dr_cross_deep_0054_matrix.md
claude-code,dr_cross_deep_0054,0.0,0.0,0.0,56,scores/claude-code__dr_cross_deep_0054_matrix.score.json,answers/claude-code__dr_cross_deep_0054_matrix.md
deerflow,dr_cross_deep_0054,0.4769,0.0333,0.5033,11784,scores/deerflow__dr_cross_deep_0054_matrix.score.json,answers/deerflow__dr_cross_deep_0054_matrix.md
flowsearcher-ds,dr_cross_deep_0054,0.0,0.0,0.0,27,scores/flowsearcher-ds__dr_cross_deep_0054_matrix.score.json,answers/flowsearcher-ds__dr_cross_deep_0054_matrix.md
gpt-researcher,dr_cross_deep_0054,0.0,0.0,0.195,18712,scores/gpt-researcher__dr_cross_deep_0054_matrix.score.json,answers/gpt-researcher__dr_cross_deep_0054_matrix.md
ii-researcher,dr_cross_deep_0054,0.0,0.0,0.1608,7451,scores/ii-researcher__dr_cross_deep_0054_matrix.score.json,answers/ii-researcher__dr_cross_deep_0054_matrix.md
langchain-odr,dr_cross_deep_0054,0.0,0.0,0.1575,8415,scores/langchain-odr__dr_cross_deep_0054_matrix.score.json,answers/langchain-odr__dr_cross_deep_0054_matrix.md
ldr,dr_cross_deep_0054,0.0,0.0,0.1208,4757,scores/ldr__dr_cross_deep_0054_matrix.score.json,answers/ldr__dr_cross_deep_0054_matrix.md
opencode,dr_cross_deep_0054,0.0,0.0,0.0242,12503,scores/opencode__dr_cross_deep_0054_matrix.score.json,answers/opencode__dr_cross_deep_0054_matrix.md
qx-agents,dr_cross_deep_0054,0.0,0.0,0.0,497,scores/qx-agents__dr_cross_deep_0054_matrix.score.json,answers/qx-agents__dr_cross_deep_0054_matrix.md
smolagents,dr_cross_deep_0054,0.0,0.0,0.0742,2536,scores/smolagents__dr_cross_deep_0054_matrix.score.json,answers/smolagents__dr_cross_deep_0054_matrix.md
camel-ai,dr_cross_deep_0055,0.0,0.0,0.0908,5691,scores/camel-ai__dr_cross_deep_0055_matrix.score.json,answers/camel-ai__dr_cross_deep_0055_matrix.md
claude-code,dr_cross_deep_0055,0.0,0.0,0.0,56,scores/claude-code__dr_cross_deep_0055_matrix.score.json,answers/claude-code__dr_cross_deep_0055_matrix.md
deerflow,dr_cross_deep_0055,0.3643,0.0333,0.5108,10021,scores/deerflow__dr_cross_deep_0055_matrix.score.json,answers/deerflow__dr_cross_deep_0055_matrix.md
flowsearcher-ds,dr_cross_deep_0055,0.0,0.0,0.15,33071,scores/flowsearcher-ds__dr_cross_deep_0055_matrix.score.json,answers/flowsearcher-ds__dr_cross_deep_0055_matrix.md
gpt-researcher,dr_cross_deep_0055,0.0,0.0,0.1617,6855,scores/gpt-researcher__dr_cross_deep_0055_matrix.score.json,answers/gpt-researcher__dr_cross_deep_0055_matrix.md
ii-researcher,dr_cross_deep_0055,0.6432,0.0333,0.5258,9729,scores/ii-researcher__dr_cross_deep_0055_matrix.score.json,answers/ii-researcher__dr_cross_deep_0055_matrix.md
langchain-odr,dr_cross_deep_0055,0.0,0.0,0.1758,8306,scores/langchain-odr__dr_cross_deep_0055_matrix.score.json,answers/langchain-odr__dr_cross_deep_0055_matrix.md
ldr,dr_cross_deep_0055,0.0,0.0,0.0983,4409,scores/ldr__dr_cross_deep_0055_matrix.score.json,answers/ldr__dr_cross_deep_0055_matrix.md
opencode,dr_cross_deep_0055,0.0,0.0,0.0,29,scores/opencode__dr_cross_deep_0055_matrix.score.json,answers/opencode__dr_cross_deep_0055_matrix.md
qx-agents,dr_cross_deep_0055,0.0,0.0,0.0,497,scores/qx-agents__dr_cross_deep_0055_matrix.score.json,answers/qx-agents__dr_cross_deep_0055_matrix.md
smolagents,dr_cross_deep_0055,0.0,0.0,0.1017,2360,scores/smolagents__dr_cross_deep_0055_matrix.score.json,answers/smolagents__dr_cross_deep_0055_matrix.md
claude-code,dr_cross_deep_0056,0.0,0.0,0.0,56,scores/claude-code__dr_cross_deep_0056_matrix.score.json,answers/claude-code__dr_cross_deep_0056_matrix.md
